ID,Symbol,Security,Wikipedia_URL,Cluster
203,FOXA,Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation,19
204,FOX,Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation,19
205,BEN,Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Templeton_Investments,13
206,FCX,Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,0
207,GRMN,Garmin,https://en.wikipedia.org/wiki/Garmin,16
208,IT,Gartner,https://en.wikipedia.org/wiki/Gartner,16
209,GE,GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace,16
210,GEHC,GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare,20
211,GEV,GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova,-1
212,GEN,Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital,16
213,GNRC,Generac,https://en.wikipedia.org/wiki/Generac,16
214,GD,General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,16
215,GIS,General Mills,https://en.wikipedia.org/wiki/General_Mills,10
216,GM,General Motors,https://en.wikipedia.org/wiki/General_Motors,16
217,GPC,Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company,15
218,GILD,Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,20
219,GPN,Global Payments,https://en.wikipedia.org/wiki/Global_Payments,23
220,GL,Globe Life,https://en.wikipedia.org/wiki/Globe_Life,27
221,GDDY,GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,-1
222,GS,Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,24
223,HAL,Halliburton,https://en.wikipedia.org/wiki/Halliburton,1
224,HIG,Hartford (The),https://en.wikipedia.org/wiki/The_Hartford,27
225,HAS,Hasbro,https://en.wikipedia.org/wiki/Hasbro,-1
226,HCA,HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,4
227,DOC,Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,5
228,HSIC,Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein,4
229,HSY,Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company,10
230,HPE,Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,16
231,HLT,Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide,22
232,HOLX,Hologic,https://en.wikipedia.org/wiki/Hologic,20
233,HD,Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot,18
234,HON,Honeywell,https://en.wikipedia.org/wiki/Honeywell,-1
235,HRL,Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,10
236,HST,Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,22
237,HWM,Howmet Aerospace,https://en.wikipedia.org/wiki/Howmet_Aerospace,16
238,HPQ,HP Inc.,https://en.wikipedia.org/wiki/HP_Inc.,16
239,HUBB,Hubbell Incorporated,https://en.wikipedia.org/wiki/Hubbell_Incorporated,-1
240,HUM,Humana,https://en.wikipedia.org/wiki/Humana,4
241,HBAN,Huntington Bancshares,https://en.wikipedia.org/wiki/Huntington_Bancshares,24
242,HII,Huntington Ingalls Industries,https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,16
243,IBM,IBM,https://en.wikipedia.org/wiki/IBM,30
244,IEX,IDEX Corporation,https://en.wikipedia.org/wiki/IDEX_Corporation,20
245,IDXX,Idexx Laboratories,https://en.wikipedia.org/wiki/Idexx_Laboratories,20
246,ITW,Illinois Tool Works,https://en.wikipedia.org/wiki/Illinois_Tool_Works,11
247,INCY,Incyte,https://en.wikipedia.org/wiki/Incyte,20
