ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
119,COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,12,5.383516,2.8350272
120,ED,Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,12,5.3966055,1.0641915
121,STZ,Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,1,4.132262,4.3165607
122,CEG,Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,12,5.624506,1.816736
123,COO,Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies,7,1.9587001,1.1929662
124,CPRT,Copart,https://en.wikipedia.org/wiki/Copart,0,1.1751488,3.9257195
125,GLW,Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.,7,2.1445518,1.5944321
126,CPAY,Corpay,https://en.wikipedia.org/wiki/Corpay,13,0.40637153,3.8572726
127,CTVA,Corteva,https://en.wikipedia.org/wiki/Corteva,7,2.2370515,1.2967842
128,CSGP,CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,6,-0.1772247,5.2383103
129,COST,Costco,https://en.wikipedia.org/wiki/Costco,0,2.3663917,4.0921535
130,CTRA,Coterra,https://en.wikipedia.org/wiki/Coterra,12,5.8055577,2.4031534
131,CRWD,CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike,-1,0.2557391,2.6797607
132,CCI,Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,6,-0.95818305,5.408361
133,CSX,CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,6,1.3028095,4.6297035
134,CMI,Cummins,https://en.wikipedia.org/wiki/Cummins,10,2.6377594,2.427937
135,CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,8,2.8323407,4.4734
136,DHR,Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,9,1.5744947,0.03321506
137,DRI,Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,0,1.8208417,4.05627
138,DDOG,Datadog,https://en.wikipedia.org/wiki/Datadog,21,0.17391361,2.894097
139,DVA,DaVita,https://en.wikipedia.org/wiki/DaVita,9,2.1770792,0.29948103
140,DAY,Dayforce,https://en.wikipedia.org/wiki/Dayforce,21,-0.42261547,3.0382211
141,DECK,Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,0,1.8991188,3.072425
142,DE,Deere & Company,https://en.wikipedia.org/wiki/John_Deere,10,2.5830116,2.399716
143,DELL,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,-1,-0.06605418,2.0445056
144,DAL,Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,0,1.7855768,4.4907675
145,DVN,Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,12,5.6691093,2.327826
146,DXCM,Dexcom,https://en.wikipedia.org/wiki/Dexcom,9,1.420672,1.0977349
147,FANG,Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,12,5.695999,2.4682117
148,DLR,Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,6,-0.78970444,6.0724864
149,DG,Dollar General,https://en.wikipedia.org/wiki/Dollar_General,0,1.7045417,3.358744
150,DLTR,Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,0,1.7652918,3.5024996
151,D,Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,12,5.6866193,1.9456105
152,DPZ,Domino's,https://en.wikipedia.org/wiki/Domino%27s,0,1.8558428,4.097672
153,DASH,DoorDash,https://en.wikipedia.org/wiki/DoorDash,0,1.5411812,4.2316017
154,DOV,Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,10,3.3793504,3.0504878
155,DOW,Dow Inc.,https://en.wikipedia.org/wiki/Dow_Chemical_Company,10,3.5993493,2.82563
156,DHI,D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,0,1.8851552,3.6267502
157,DTE,DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,12,5.476907,1.8345346
158,DUK,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,12,5.925027,1.7820171
159,DD,DuPont,https://en.wikipedia.org/wiki/DuPont,10,3.6126566,2.729081
160,EMN,Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,10,3.8092768,2.4958544
161,ETN,Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,12,5.243663,1.2962574
162,EBAY,eBay Inc.,https://en.wikipedia.org/wiki/EBay,3,0.45756906,4.9087787
163,ECL,Ecolab,https://en.wikipedia.org/wiki/Ecolab,7,3.5978434,1.0399367
164,EIX,Edison International,https://en.wikipedia.org/wiki/Edison_International,12,5.426335,0.9912448
165,EW,Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,9,1.7098333,0.61034197
166,EA,Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,20,-0.009082379,1.573992
167,ELV,Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,8,2.9292064,5.442319
168,EME,Emcor,https://en.wikipedia.org/wiki/Emcor,12,5.5328083,0.9789528
169,EMR,Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric,12,5.3047338,0.83246124
170,ETR,Entergy,https://en.wikipedia.org/wiki/Entergy,12,5.71061,1.6504041
171,EOG,EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,12,5.6823897,2.6760898
172,EPAM,EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems,20,0.32039955,1.2605096
173,EQT,EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,12,5.8845873,2.4185345
174,EFX,Equifax,https://en.wikipedia.org/wiki/Equifax,18,0.74944896,5.009014
175,EQIX,Equinix,https://en.wikipedia.org/wiki/Equinix,6,-0.6177109,5.791553
176,EQR,Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential,6,-1.037352,6.053537
